task_id,department,task,latitude,longitude,start_time,end_time,inventory_used,inventory_count,task_type,task_status,task_description,optimization_suggestion,similar_tasks
1,Transport,Meeting,43.47909,-91.838933,20:36,22-01-2024 23:36,Laptop,9,Construction,Planned,Report generation for annual review,None,[]
2,Health,Meeting,-50.645165,1.927904,13-02-2024 17:38,13-02-2024 18:38,Scanner,4,Report,Ongoing,Training on new software,None,[1]
3,Health,Training,35.665091,-57.509814,07-09-2024 10:37,07-09-2024 13:37,Projector,6,Construction,Completed,Report generation for annual review,None,[]
4,Agriculture,Maintenance,18.670686,110.566178,03-05-2024 08:42,03-05-2024 16:42,Scanner,2,Training,Completed,Presentation preparation for stakeholders,Reallocate resources,"[3, 2]"
5,Agriculture,Meeting,29.027397,98.304603,07-08-2024 19:07,07-08-2024 21:07,Projector,2,Training,Ongoing,Report generation for annual review,Reschedule task 4,"[2, 4]"
6,Education,Presentation,24.296092,12.290356,08-09-2024 07:30,08-09-2024 11:30,Projector,8,Training,Ongoing,Presentation preparation for stakeholders,None,[3]
7,Finance,Training,57.924467,109.816488,02-09-2024 22:11,03-09-2024 05:11,Whiteboard,2,Maintenance,Planned,Maintenance of office equipment,Reschedule task 6,[6]
8,Finance,Maintenance,-64.866542,88.196034,20-02-2024 13:54,20-02-2024 18:54,Scanner,7,Report,Ongoing,Maintenance of office equipment,Reallocate resources,[2]
9,Education,Meeting,64.998524,-124.977125,31-12-2023 20:29,31-12-2023 23:29,Printer,10,Construction,Ongoing,Report generation for annual review,Reallocate resources,"[5, 8, 1]"
10,Education,Presentation,45.158004,96.695544,30-03-2024 19:32,31-03-2024 01:32,Laptop,5,Training,Completed,Report generation for annual review,None,[]
11,Education,Presentation,47.153196,2.765403,15-03-2024 15:04,15-03-2024 17:04,Whiteboard,9,Report,Completed,Training on new software,None,"[3, 9]"
12,Education,Meeting,17.810025,-4.101945,21-08-2024 09:35,21-08-2024 11:35,Whiteboard,5,Maintenance,Completed,Training on new software,None,[]
13,Health,Report,56.884186,172.074418,26-10-2023 15:31,26-10-2023 18:31,Projector,8,Report,Completed,Maintenance of office equipment,None,"[4, 9, 12]"
14,Health,Maintenance,-11.141985,6.327303,31-03-2024 01:05,31-03-2024 03:05,Projector,4,Construction,Ongoing,Meeting to discuss quarterly budget,Merge with task 10,[10]
15,Education,Training,-77.867941,-168.691335,05-02-2024 11:50,05-02-2024 17:50,Laptop,9,Maintenance,Ongoing,Report generation for annual review,Merge with task 9,[9]
16,Transport,Report,55.34946,-111.452431,19-03-2024 14:53,19-03-2024 16:53,Printer,6,Training,Ongoing,Report generation for annual review,None,[]
17,Agriculture,Meeting,-17.528169,-57.851062,31-07-2024 00:42,31-07-2024 02:42,Projector,4,Maintenance,Planned,Report generation for annual review,Merge with task 14,[14]
18,Transport,Meeting,-10.236466,130.085678,30-04-2024 13:53,30-04-2024 15:53,Laptop,9,Construction,Completed,Training on new software,Reschedule task 14,[14]
19,Health,Meeting,-60.365318,-179.224064,11-06-2024 15:14,11-06-2024 22:14,Whiteboard,8,Administrative,Ongoing,Presentation preparation for stakeholders,Merge with task 5,"[5, 7, 10]"
20,Health,Presentation,-79.027637,-67.102268,02-03-2024 19:47,02-03-2024 20:47,Scanner,8,Report,Planned,Training on new software,None,[]
21,Transport,Meeting,63.241658,-155.33232,10-01-2024 16:01,10-01-2024 18:01,Projector,7,Construction,Planned,Training on new software,None,[]
